fecha,local,visitante,goles_local,goles_visita,torneo,ciudad,pais_x,neutral,difgol,gana_local,gana_visita,ranking_local,abrev_local,ranking_visitante,abrev_visitante,dif_ranking
1993-04-04,El Salvador,Mexico,2,1,FIFA World Cup qualification,San Salvador,El Salvador,"FALSO
",1,1,0,50,"ESA
",25,MEX,25
1993-04-11,"Mexico
",Honduras,3,0,FIFA World Cup qualification,Ciudad de Mexico,Mexico,FALSE,3,1,0,25,"MEX
",32,"HON
",-7
1993-04-18,"Mexico
",El Salvador,3,1,FIFA World Cup qualification,Ciudad de Mexico,Mexico,FALSE,2,1,0,25,"MEX
",50,ESA,-25
1993-04-25,"Honduras
",El Salvador,2,0,FIFA World Cup qualification,Tegucigalpa,Honduras,FALSE,2,1,0,32,HON,50,ESA,-18
1993-05-02,"Honduras
",Mexico,1,4,FIFA World Cup qualification,Tegucigalpa,Honduras,FALSE,-3,0,1,32,HON,25,MEX,7
1993-05-09,El Salvador,Honduras,2,1,FIFA World Cup qualification,San Salvador,El Salvador,FALSO,1,1,0,50,"ESA
",32,"HON
",18
1993-07-10,Estados Unidos,Jamaica,1,0,Gold Cup,Dallas,Estados Unidos,FALSO,1,1,0,24,EUA,67,JAM,-43
1993-07-14,"Jamaica
",Honduras,3,1,Gold Cup,Dallas,Estados Unidos,VERDADERO,2,1,0,67,JAM,32,"HON
",35
1993-07-15,"Mexico
","Costa Rica
",1,1,Gold Cup,Ciudad de Mexico,Mexico,FALSE,0,0,0,25,"MEX
",37,CRI,-12
1993-07-17,Estados Unidos,Honduras,1,0,Gold Cup,Dallas,Estados Unidos,FALSO,1,1,0,24,EUA,32,"HON
",-8
1993-07-21,Estados Unidos,"Costa Rica
",1,0,Gold Cup,Dallas,Estados Unidos,FALSO,1,1,0,24,EUA,37,CRI,-13
1993-07-22,"Mexico
",Jamaica,6,1,Gold Cup,Ciudad de Mexico,Mexico,FALSE,5,1,0,25,"MEX
",67,JAM,-42
1993-07-25,Costa Rica,Jamaica,1,1,Gold Cup,Ciudad de Mexico,Mexico,VERDADERO,0,0,0,37,CRI,67,JAM,-30
1993-07-25,"Mexico
",Estados Unidos,4,0,Gold Cup,Ciudad de Mexico,Mexico,FALSE,4,1,0,25,"MEX
",24,EUA,1
1993-03-09,Honduras,El Salvador,3,0,UNCAF Cup,Tegucigalpa,Honduras,FALSE,3,1,0,62,HON,66,ESA,-4
1996-08-14,Honduras,El Salvador,2,1,Friendly,San Pedro Sula,Honduras,FALSE,1,1,0,62,HON,76,ESA,-14
1996-10-21,Honduras,El Salvador,1,1,Friendly,Tegucigalpa,Honduras,FALSE,0,0,0,62,HON,76,ESA,-14
1997-04-18,Honduras,El Salvador,3,0,UNCAF Cup,Guatemala,Guatemala,TRUE,3,1,0,62,HON,69,ESA,-7
1997-04-27,Honduras,El Salvador,0,0,UNCAF Cup,Guatemala,Guatemala,TRUE,0,0,0,62,HON,69,ESA,-7
1999-03-24,Honduras,El Salvador,3,1,UNCAF Cup,San José,Costa Rica,TRUE,2,1,0,62,HON,69,ESA,-7
2000-02-09,Honduras,El Salvador,5,1,Friendly,San Pedro Sula,Honduras,FALSE,4,1,0,62,HON,69,ESA,-7
2000-09-02,Honduras,El Salvador,5,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,5,1,0,62,HON,69,ESA,-7
2001-05-27,Honduras,El Salvador,1,1,UNCAF Cup,San Pedro Sula,Honduras,FALSE,0,0,0,62,HON,69,ESA,-7
2003-02-15,Honduras,El Salvador,0,1,UNCAF Cup,Panama City,Panama,TRUE,-1,0,1,62,HON,69,ESA,-7
2003-06-29,Honduras,El Salvador,1,1,Friendly,Tegucigalpa,Honduras,FALSE,0,0,0,62,HON,69,ESA,-7
2006-09-06,Honduras,El Salvador,2,0,Friendly,Tegucigalpa,Honduras,FALSE,2,1,0,62,HON,69,ESA,-7
2009-01-26,Honduras,El Salvador,2,0,UNCAF Cup,Tegucigalpa,Honduras,FALSE,2,1,0,62,HON,69,ESA,-7
2009-02-01,Honduras,El Salvador,1,0,UNCAF Cup,Tegucigalpa,Honduras,FALSE,1,1,0,62,HON,69,ESA,-7
2009-06-10,Honduras,El Salvador,1,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,1,1,0,62,HON,69,ESA,-7
2011-01-21,Honduras,El Salvador,2,0,UNCAF Cup,Panama City,Panama,TRUE,2,1,0,62,HON,69,ESA,-7
2013-01-18,Honduras,El Salvador,1,1,UNCAF Cup,San José,Costa Rica,TRUE,0,0,0,62,HON,69,ESA,-7
2013-07-12,Honduras,El Salvador,1,0,Gold Cup,Miami Gardens,United States,TRUE,1,1,0,62,HON,69,ESA,-7
2016-03-29,Honduras,El Salvador,2,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,2,1,0,62,HON,69,ESA,-7
2019-06-25,Honduras,El Salvador,4,0,Gold Cup,Los Angeles,United States,TRUE,4,1,0,62,HON,69,ESA,-7
1994-05-03,El Salvador,Honduras,3,1,Friendly,Miami,United States,TRUE,2,1,0,66,"ESA
",62,"HON
",4
1996-08-21,El Salvador,Honduras,1,2,Friendly,San Salvador,El Salvador,FALSE,-1,0,1,76,"ESA
",62,"HON
",14
1998-11-18,El Salvador,Honduras,1,2,Friendly,Los Angeles,United States,TRUE,-1,0,1,69,"ESA
",62,"HON
",7
2000-07-16,El Salvador,Honduras,2,5,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,-3,0,1,69,"ESA
",62,"HON
",7
2004-08-03,El Salvador,Honduras,0,4,Friendly,San Salvador,El Salvador,FALSE,-4,0,1,69,"ESA
",62,"HON
",7
2007-03-24,El Salvador,Honduras,0,2,Friendly,Fort Lauderdale,United States,TRUE,-2,0,1,69,"ESA
",62,"HON
",7
2007-03-27,El Salvador,Honduras,0,2,Friendly,Cary,United States,TRUE,-2,0,1,69,"ESA
",62,"HON
",7
2007-08-22,El Salvador,Honduras,2,0,Friendly,San Salvador,El Salvador,FALSE,2,1,0,69,"ESA
",62,"HON
",7
2009-10-14,El Salvador,Honduras,0,1,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,-1,0,1,69,"ESA
",62,"HON
",7
2010-09-04,El Salvador,Honduras,2,2,Friendly,Los Angeles,United States,TRUE,0,0,0,69,"ESA
",62,"HON
",7
2011-05-29,El Salvador,Honduras,2,2,Friendly,Houston,United States,TRUE,0,0,0,69,"ESA
",62,"HON
",7
2012-06-02,El Salvador,Honduras,0,3,Friendly,Washington,United States,TRUE,-3,0,1,69,"ESA
",62,"HON
",7
2015-05-31,El Salvador,Honduras,0,2,Friendly,Washington,United States,TRUE,-2,0,1,69,"ESA
",62,"HON
",7
2016-03-25,El Salvador,Honduras,2,2,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,0,0,0,69,"ESA
",62,"HON
",7
2017-01-15,El Salvador,Honduras,1,2,UNCAF Cup,Panama City,Panama,TRUE,-1,0,1,69,"ESA
",62,"HON
",7
2017-05-28,El Salvador,Honduras,2,2,Friendly,Washington,United States,TRUE,0,0,0,69,"ESA
",62,"HON
",7
2018-06-02,El Salvador,Honduras,1,0,Friendly,Houston,United States,TRUE,1,1,0,69,"ESA
",62,"HON
",7
1993-03-07,Honduras,Costa Rica,2,0,UNCAF Cup,Tegucigalpa,Honduras,FALSE,2,1,0,62,HON,46,CRI,16
1995-12-07,Honduras,Costa Rica,1,1,UNCAF Cup,San Salvador,El Salvador,TRUE,0,0,0,62,HON,46,CRI,16
1996-08-11,Honduras,Costa Rica,0,0,Friendly,Tegucigalpa,Honduras,FALSE,0,0,0,62,HON,46,CRI,16
1997-04-23,Honduras,Costa Rica,0,4,UNCAF Cup,Guatemala,Guatemala,TRUE,-4,0,1,62,HON,46,CRI,16
2001-07-01,Honduras,Costa Rica,2,3,FIFA World Cup qualification,Tegucigalpa,Honduras,FALSE,-1,0,1,62,HON,46,CRI,16
2001-07-13,Honduras,Costa Rica,0,1,Copa América,Medellín,Colombia,TRUE,-1,0,1,62,HON,46,CRI,16
2004-11-17,Honduras,Costa Rica,0,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,0,0,0,62,HON,46,CRI,16
2005-07-16,Honduras,Costa Rica,3,2,Gold Cup,Foxborough,United States,TRUE,1,1,0,62,HON,46,CRI,16
2009-08-12,Honduras,Costa Rica,4,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,4,1,0,62,HON,46,CRI,16
2011-01-23,Honduras,Costa Rica,2,1,UNCAF Cup,Panama City,Panama,TRUE,1,1,0,62,HON,46,CRI,16
2013-07-21,Honduras,Costa Rica,1,0,Gold Cup,Baltimore,United States,TRUE,1,1,0,62,HON,46,CRI,16
2013-10-11,Honduras,Costa Rica,1,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,1,1,0,62,HON,46,CRI,16
2017-03-28,Honduras,Costa Rica,1,1,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,0,0,0,62,HON,46,CRI,16
2017-07-07,Honduras,Costa Rica,0,1,Gold Cup,Harrison,United States,TRUE,-1,0,1,62,HON,46,CRI,16
1996-08-04,Costa Rica,Honduras,1,1,Friendly,San José,Costa Rica,FALSE,0,0,0,46,"CRI
",62,"HON
",-16
1998-01-21,Costa Rica,Honduras,1,4,Friendly,Nicoya,Costa Rica,FALSE,-3,0,1,46,"CRI
",62,"HON
",-16
1999-03-21,Costa Rica,Honduras,0,1,UNCAF Cup,San José,Costa Rica,FALSE,-1,0,1,46,"CRI
",62,"HON
",-16
1999-03-26,Costa Rica,Honduras,1,2,UNCAF Cup,San José,Costa Rica,FALSE,-1,0,1,46,"CRI
",62,"HON
",-16
1999-12-29,Costa Rica,Honduras,1,1,Friendly,Alajuela,Costa Rica,FALSE,0,0,0,46,"CRI
",62,"HON
",-16
2001-02-28,Costa Rica,Honduras,2,2,FIFA World Cup qualification,San José,Costa Rica,FALSE,0,0,0,46,"CRI
",62,"HON
",-16
2003-02-20,Costa Rica,Honduras,1,0,UNCAF Cup,Panama City,Panama,TRUE,1,1,0,46,"CRI
",62,"HON
",-16
